Date,League,Team,Amount,Break
08-Sept-15,League Two,Hartlepool United,24,Break
08-Sept-15,League Two,Luton Town,27,Break
08-Sept-15,League Two,Mansfield Town,9,Break
08-Sept-15,League Two,Morecambe,2,Break
08-Sept-15,League Two,Newport County,6,Break
08-Sept-15,League Two,Northampton Town,3,Break
08-Sept-15,League Two,Oxford United,14,Break
08-Sept-15,League Two,Plymouth Argyle,20,Break
08-Sept-15,League Two,Portsmouth,15,Break
08-Sept-15,League Two,Shrewsbury Town,24,Break
08-Sept-15,League Two,Southend United,3,Break
08-Sept-15,League Two,Stevenage,1,Break
08-Sept-15,League Two,Tranmere Rovers,6,Break
08-Sept-15,League Two,Wycombe Wanderers,1,Break
08-Sept-15,League Two,York City,8,Break
08-Sept-15,National League,AFC Telford United,5,Break
08-Sept-15,National League,Aldershot Town,5,Break
08-Sept-15,National League,Alfreton Town,4,Break
08-Sept-15,National League,Altrincham,0,Break
08-Sept-15,National League,Barnet,0,Break
08-Sept-15,National League,Braintree Town,0,Break
08-Sept-15,National League,Bristol Rovers,54,Break
08-Sept-15,National League,Chester,17,Break
08-Sept-15,National League,Dartford,0,Break
08-Sept-15,National League,Dover Athletic,0,Break
08-Sept-15,National League,Eastleigh,0,Break
08-Sept-15,National League,FC Halifax Town,10,Break
08-Sept-15,National League,Forest Green Rovers,0,Break
08-Sept-15,National League,Gateshead,0,Break
08-Sept-15,National League,Grimsby Town,32,Break
08-Sept-15,National League,Kidderminster Harriers,6,Break
08-Sept-15,National League,Lincoln City,36,Break
08-Sept-15,National League,Macclesfield Town,4,Break
08-Sept-15,National League,Nuneaton Town,7,Break
08-Sept-15,National League,Southport,0,Break
08-Sept-15,National League,Torquay United,5,Break
08-Sept-15,National League,Welling United,0,Break
08-Sept-15,National League,Woking,1,Break
08-Sept-15,National League,Wrexham,18,Break
08-Sept-15,Other clubs,Aberdeen,3,Break
08-Sept-15,Other clubs,Bangor City,1,Break
08-Sept-15,Other clubs,Barrow,1,Break
08-Sept-15,Other clubs,Blyth Spartans,1,Break
08-Sept-15,Other clubs,FC United of Manchester,1,Break
08-Sept-15,Other clubs,Fredikstad,1,Break
08-Sept-15,Other clubs,Galatasaray,4,Break
08-Sept-15,Other clubs,Hednesford Town,2,Break
08-Sept-15,Other clubs,Hereford United,2,Break
08-Sept-15,Other clubs,Kettering Town,1,Break
08-Sept-15,Other clubs,Lyon,1,Break
08-Sept-15,Other clubs,Rangers,16,Break
08-Sept-15,Other clubs,Sparta Prague,1,Break
08-Sept-15,Other clubs,Staines Town,1,Break
08-Sept-15,Other clubs,Stalybridge Celtic,4,Break
08-Sept-15,Other clubs,Stockport County,16,Break
08-Sept-15,Other clubs,Worcester City,1,Break
08-Sept-15,Other clubs,Zenit St. Petersburg,1,Break
08-Sept-15,Other clubs,Not Known,1,Break
